        4629           2          20
Tue Oct 25 03:38:30 2005
nirspec_drtau_glue.dat

Full Nirspec spectrum of drtau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
drtau_coice_dec02.dat 2 0.400000 0.958951
drtau_coice+_dec02.dat 2 0.600000 0.958951
drtau_cop_dec02.dat 3 0.400000 1.26488
drtau_cop+_dec02.dat 3 0.600000 1.23907

     Wavelength     Flux
         um          Jy
 
  4.6775069E+00  1.3005599E+00
  4.6776004E+00  1.3015004E+00
  4.6776938E+00  1.3104924E+00
  4.6777873E+00  1.3049065E+00
  4.6778812E+00  1.2897291E+00
  4.6779747E+00  1.2908087E+00
  4.6780682E+00  1.2848918E+00
  4.6781616E+00  1.2809582E+00
  4.6782551E+00  1.3060627E+00
  4.6783490E+00  1.3278702E+00
  4.6784425E+00  1.3857528E+00
  4.6785359E+00  1.4347528E+00
  4.6786294E+00  1.4582021E+00
  4.6787233E+00  1.4103191E+00
  4.6788168E+00  1.3531594E+00
  4.6789103E+00  1.3048707E+00
  4.6790037E+00  1.2803539E+00
  4.6790977E+00  1.2985038E+00
  4.6791911E+00  1.3167726E+00
  4.6792846E+00  1.3445379E+00
  4.6793780E+00  1.3515610E+00
  4.6794720E+00  1.3429372E+00
  4.6795654E+00  1.3355788E+00
  4.6796589E+00  1.3354386E+00
  4.6797523E+00  1.3456484E+00
  4.6798463E+00  1.3479040E+00
  4.6799397E+00  1.3147366E+00
  4.6800332E+00  1.2877645E+00
  4.6801271E+00  1.3006595E+00
  4.6802206E+00  1.3155844E+00
  4.6803141E+00  1.3194853E+00
  4.6804080E+00  1.3322583E+00
  4.6805015E+00  1.3402872E+00
  4.6805949E+00  1.3403840E+00
  4.6806889E+00  1.3216113E+00
  4.6807823E+00  1.3228229E+00
  4.6808758E+00  1.3157308E+00
  4.6809692E+00  1.3240541E+00
  4.6810632E+00  1.3378317E+00
  4.6811566E+00  1.3419901E+00
  4.6812501E+00           -NaN
  4.6813440E+00           -NaN
  4.6814375E+00  1.3582149E+00
  4.6815314E+00  1.4120002E+00
  4.6816249E+00  1.4765339E+00
  4.6817183E+00  1.5088502E+00
  4.6818123E+00  1.4707654E+00
  4.6819057E+00  1.4230328E+00
  4.6819992E+00  1.3608196E+00
  4.6820931E+00  1.3211777E+00
  4.6821866E+00  1.2985845E+00
  4.6822805E+00  1.3024961E+00
  4.6823740E+00  1.3026637E+00
  4.6824675E+00  1.3312166E+00
  4.6825614E+00           -NaN
  4.6826549E+00  1.4179358E+00
  4.6827483E+00  1.5162815E+00
  4.6828423E+00  1.7754283E+00
  4.6829357E+00  2.1555185E+00
  4.6830297E+00  2.4505470E+00
  4.6831231E+00  2.4000444E+00
  4.6832170E+00  2.0684378E+00
  4.6833105E+00  1.7976507E+00
  4.6834040E+00  1.6549859E+00
  4.6834979E+00  1.6416006E+00
  4.6835914E+00  1.6182675E+00
  4.6836853E+00  1.5522871E+00
  4.6837788E+00  1.4676327E+00
  4.6838727E+00  1.4006497E+00
  4.6839662E+00  1.3653095E+00
  4.6840601E+00  1.3408695E+00
  4.6841536E+00  1.3134912E+00
  4.6842475E+00  1.2968591E+00
  4.6843410E+00  1.2891521E+00
  4.6844344E+00  1.2882577E+00
  4.6845284E+00  1.2987361E+00
  4.6846218E+00  1.3057903E+00
  4.6847157E+00  1.3121756E+00
  4.6848092E+00  1.3030671E+00
  4.6849031E+00  1.3084015E+00
  4.6849966E+00  1.2973766E+00
  4.6850905E+00  1.3015316E+00
  4.6851840E+00  1.3236643E+00
  4.6852779E+00  1.3440465E+00
  4.6853714E+00  1.3590171E+00
  4.6854653E+00  1.3428606E+00
  4.6855588E+00  1.3682237E+00
  4.6856527E+00  1.4372507E+00
  4.6857467E+00  1.4899231E+00
  4.6858401E+00  1.4834822E+00
  4.6859341E+00  1.4392908E+00
  4.6860275E+00  1.3798349E+00
  4.6861215E+00  1.3281707E+00
  4.6862149E+00  1.3292894E+00
  4.6863089E+00  1.3269762E+00
  4.6864023E+00  1.3183814E+00
  4.6864963E+00  1.2993367E+00
  4.6865897E+00  1.3022969E+00
  4.6866837E+00  1.3007630E+00
  4.6867776E+00  1.2921625E+00
  4.6868711E+00  1.2968969E+00
  4.6869650E+00  1.3051403E+00
  4.6870584E+00  1.3016423E+00
  4.6871524E+00  1.3036716E+00
  4.6872463E+00  1.3039516E+00
  4.6873398E+00  1.3042762E+00
  4.6874337E+00  1.3091390E+00
  4.6875272E+00  1.3110278E+00
  4.6876211E+00  1.3069197E+00
  4.6877151E+00  1.2991750E+00
  4.6878085E+00  1.2849627E+00
  4.6879025E+00  1.2791036E+00
  4.6879959E+00  1.2827188E+00
  4.6880898E+00  1.2973074E+00
  4.6881838E+00  1.2989956E+00
  4.6882772E+00  1.3061093E+00
  4.6883712E+00  1.3106537E+00
  4.6884651E+00  1.3020440E+00
  4.6885586E+00  1.3213257E+00
  4.6886525E+00  1.3627375E+00
  4.6887465E+00  1.3868891E+00
  4.6888399E+00  1.4015024E+00
  4.6889338E+00  1.3818827E+00
  4.6890278E+00  1.3703971E+00
  4.6891212E+00  1.3691651E+00
  4.6892152E+00  1.3362036E+00
  4.6893091E+00  1.3123945E+00
  4.6894026E+00  1.3036385E+00
  4.6894965E+00  1.2958627E+00
  4.6895905E+00  1.2979558E+00
  4.6896839E+00  1.2996635E+00
  4.6897779E+00  1.3051950E+00
  4.6898718E+00  1.3077790E+00
  4.6899652E+00  1.2946424E+00
  4.6900592E+00  1.2994031E+00
  4.6901531E+00  1.2945820E+00
  4.6902471E+00  1.3020082E+00
  4.6903405E+00  1.2948339E+00
  4.6904345E+00  1.2804288E+00
  4.6905284E+00  1.2958341E+00
  4.6906223E+00  1.3125025E+00
  4.6907158E+00  1.3062165E+00
  4.6908097E+00  1.3023676E+00
  4.6909037E+00  1.3057773E+00
  4.6909976E+00  1.3246756E+00
  4.6910911E+00           -NaN
  4.6911850E+00           -NaN
  4.6912789E+00  1.5028449E+00
  4.6913729E+00  1.6529830E+00
  4.6914663E+00  2.0176167E+00
  4.6915603E+00  2.4411223E+00
  4.6916542E+00  2.6840405E+00
  4.6917481E+00  2.4285498E+00
  4.6918416E+00  1.9986876E+00
  4.6919355E+00  1.6763721E+00
  4.6920295E+00  1.5112667E+00
  4.6921234E+00  1.4248409E+00
  4.6922174E+00  1.3633541E+00
  4.6923108E+00  1.3610826E+00
  4.6924047E+00  1.3504412E+00
  4.6924987E+00  1.3434297E+00
  4.6925926E+00  1.3328817E+00
  4.6926866E+00  1.3218502E+00
  4.6927805E+00  1.3104885E+00
  4.6928740E+00  1.3519677E+00
  4.6929679E+00  1.4194969E+00
  4.6930618E+00  1.4544336E+00
  4.6931558E+00  1.4172329E+00
  4.6932497E+00  1.3528364E+00
  4.6933436E+00  1.3131808E+00
  4.6934371E+00  1.3085182E+00
  4.6935310E+00  1.3091210E+00
  4.6936250E+00  1.2929053E+00
  4.6937189E+00  1.2986391E+00
  4.6938128E+00  1.2981248E+00
  4.6939068E+00  1.2888153E+00
  4.6940007E+00  1.2876257E+00
  4.6940942E+00  1.2903550E+00
  4.6941881E+00  1.2832496E+00
  4.6942821E+00  1.2778578E+00
  4.6943760E+00  1.2795566E+00
  4.6944699E+00  1.3047252E+00
  4.6945639E+00  1.3036073E+00
  4.6946578E+00  1.3123391E+00
  4.6947517E+00  1.3354373E+00
  4.6948457E+00  1.3283790E+00
  4.6949396E+00  1.3111929E+00
  4.6950336E+00  1.2927878E+00
  4.6951270E+00  1.3056458E+00
  4.6952209E+00  1.2973224E+00
  4.6953149E+00  1.2860194E+00
  4.6954088E+00  1.2567916E+00
  4.6955028E+00  1.2844892E+00
  4.6955967E+00  1.2704079E+00
  4.6956906E+00  1.2236136E+00
  4.6957846E+00  1.2601603E+00
  4.6958785E+00  1.2993749E+00
